Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1980,31.74%,41.92%,11.39%,-2.99%,-3.32%,7.40%,15.19%," $ 7,934.26 "," $ 106,170.12 ", $ 453.04 , $ 448.17 ," $ 1,152.99 ", $ 795.11 ," $ 2,857.32 ",20.34%,34.72%,10.18%,35.05%,5.73%,12.52%,17.08%,26.13%,-1.00%,-13.78%,-14.07%,-4.55%,2.37%," $ 1,590.53 "," $ 21,581.37 ", $ 90.82 , $ 89.84 , $ 231.13 , $ 159.39 , $ 572.79 ,18.08%,30.86%
1981,-4.70%,-4.29%,14.04%,8.20%,8.46%,5.10%,-32.60%," $ 7,561.16 "," $ 101,615.42 ", $ 516.63 , $ 484.91 ," $ 1,250.56 ", $ 835.62 ," $ 1,925.87 ",-18.74%,-12.90%,0.41%,-13.16%,5.37%,8.92%,-12.51%,-12.13%,4.69%,-0.66%,-0.42%,-3.51%,-38.12%," $ 1,391.58 "," $ 18,963.54 ", $ 95.08 , $ 89.24 , $ 230.16 , $ 153.79 , $ 354.44 ,-17.20%,-11.84%
1982,20.42%,26.85%,11.09%,32.81%,29.05%,0.56%,15.62%," $ 9,105.08 "," $ 128,899.16 ", $ 573.93 , $ 644.04 ," $ 1,613.88 ", $ 840.33 ," $ 2,226.74 ",9.33%,-12.40%,6.43%,-8.63%,5.10%,3.83%,15.98%,22.17%,6.99%,27.92%,24.29%,-3.15%,11.36%," $ 1,613.91 "," $ 23,167.96 ", $ 101.73 , $ 114.16 , $ 286.07 , $ 148.95 , $ 394.70 ,8.98%,-11.94%
1983,22.34%,34.86%,8.95%,3.20%,16.19%,4.75%,-16.80%," $ 11,138.90 "," $ 173,833.41 ", $ 625.29 , $ 664.65 ," $ 1,875.23 ", $ 880.25 ," $ 1,852.71 ",13.39%,19.14%,12.52%,6.14%,5.34%,3.79%,17.87%,29.93%,4.97%,-0.57%,11.95%,0.92%,-19.84%," $ 1,902.30 "," $ 30,103.11 ", $ 106.79 , $ 113.51 , $ 320.25 , $ 150.33 , $ 316.41 ,12.90%,18.44%
1984,6.15%,-14.50%,9.92%,13.73%,15.62%,4.68%,-19.38%," $ 11,823.51 "," $ 148,627.56 ", $ 687.32 , $ 755.92 ," $ 2,168.13 ", $ 921.43 ," $ 1,493.70 ",-3.77%,-7.59%,-20.65%,-9.47%,5.12%,3.95%,2.11%,-17.75%,5.74%,9.41%,11.23%,0.70%,-22.44%," $ 1,942.51 "," $ 24,760.45 ", $ 112.92 , $ 124.19 , $ 356.21 , $ 151.38 , $ 245.40 ,-3.63%,-7.30%
1985,31.24%,24.51%,7.72%,25.71%,23.86%,7.47%,6.00%," $ 15,516.60 "," $ 185,056.18 ", $ 740.38 , $ 950.29 ," $ 2,685.50 ", $ 990.27 ," $ 1,583.33 ",23.52%,5.52%,-6.73%,7.37%,5.13%,3.80%,26.43%,19.95%,3.78%,21.11%,19.33%,3.54%,2.12%," $ 2,455.97 "," $ 29,701.00 ", $ 117.19 , $ 150.41 , $ 425.06 , $ 156.74 , $ 250.61 ,22.65%,5.32%
1986,18.49%,2.09%,6.15%,24.28%,22.15%,9.61%,18.96%," $ 18,386.33 "," $ 188,923.85 ", $ 785.92 ," $ 1,181.06 "," $ 3,280.24 "," $ 1,085.46 "," $ 1,883.48 ",12.34%,-5.79%,-16.40%,-3.65%,4.97%,1.10%,17.21%,0.98%,5.00%,22.93%,20.82%,8.42%,17.66%," $ 2,878.59 "," $ 29,992.46 ", $ 123.04 , $ 184.91 , $ 513.56 , $ 169.94 , $ 294.88 ,12.21%,-5.73%
1987,5.81%,-14.00%,5.96%,-4.96%,1.12%,7.85%,24.53%," $ 19,455.08 "," $ 162,474.51 ", $ 832.76 ," $ 1,122.47 "," $ 3,316.88 "," $ 1,170.66 "," $ 2,345.45 ",-0.15%,10.77%,-19.81%,4.70%,5.07%,4.43%,1.32%,-17.65%,1.46%,-9.00%,-3.18%,3.27%,19.24%," $ 2,916.58 "," $ 24,698.30 ", $ 124.84 , $ 168.27 , $ 497.25 , $ 175.50 , $ 351.61 ,-0.14%,10.32%
1988,16.54%,17.15%,6.89%,8.22%,15.68%,7.22%,-15.26%," $ 22,672.40 "," $ 190,338.89 ", $ 890.13 ," $ 1,214.78 "," $ 3,837.02 "," $ 1,255.19 "," $ 1,987.65 ",9.65%,8.31%,0.61%,0.86%,5.12%,4.42%,11.60%,12.19%,2.37%,3.64%,10.79%,2.68%,-18.84%," $ 3,255.04 "," $ 27,709.46 ", $ 127.80 , $ 174.40 , $ 550.88 , $ 180.21 , $ 285.36 ,9.24%,7.96%
1989,31.48%,6.96%,8.39%,17.69%,16.31%,4.39%,-2.84%," $ 29,808.58 "," $ 203,586.48 ", $ 964.81 ," $ 1,429.72 "," $ 4,462.92 "," $ 1,310.35 "," $ 1,931.20 ",23.09%,13.78%,-24.52%,15.16%,5.24%,4.65%,25.64%,2.21%,3.58%,12.47%,11.15%,-0.24%,-7.15%," $ 4,089.52 "," $ 28,321.84 ", $ 132.37 , $ 196.15 , $ 612.28 , $ 179.77 , $ 264.95 ,22.06%,13.17%
1990,-3.06%,-27.77%,7.75%,6.24%,5.65%,-0.69%,-3.11%," $ 28,895.11 "," $ 147,050.51 "," $ 1,039.59 "," $ 1,518.87 "," $ 4,714.97 "," $ 1,301.36 "," $ 1,871.12 ",-10.81%,-9.30%,-24.71%,-8.71%,5.00%,6.11%,-8.64%,-31.93%,1.55%,0.12%,-0.43%,-6.40%,-8.69%," $ 3,736.07 "," $ 19,279.60 ", $ 134.42 , $ 196.39 , $ 609.63 , $ 168.26 , $ 241.93 ,-10.19%,-8.76%
1991,30.23%,46.07%,5.54%,15.00%,16.40%,-0.17%,-8.56%," $ 37,631.51 "," $ 214,796.69 "," $ 1,097.18 "," $ 1,746.77 "," $ 5,488.23 "," $ 1,299.16 "," $ 1,711.00 ",24.69%,15.23%,15.84%,13.83%,5.14%,3.06%,26.36%,41.73%,2.40%,11.59%,12.94%,-3.14%,-11.28%," $ 4,721.00 "," $ 27,324.42 ", $ 137.64 , $ 219.14 , $ 688.52 , $ 162.98 , $ 214.65 ,23.96%,14.78%
1992,7.49%,25.34%,3.51%,9.36%,13.68%,0.82%,-5.73%," $ 40,451.51 "," $ 269,226.17 "," $ 1,135.69 "," $ 1,910.30 "," $ 6,239.18 "," $ 1,309.78 "," $ 1,612.89 ",3.98%,-1.87%,17.85%,-6.19%,5.03%,2.90%,4.46%,21.81%,0.59%,6.28%,10.48%,-2.02%,-8.39%," $ 4,931.72 "," $ 33,283.00 ", $ 138.46 , $ 232.90 , $ 760.66 , $ 159.68 , $ 196.64 ,3.87%,-1.82%
1993,9.97%,25.56%,3.07%,14.21%,16.44%,2.16%,17.68%," $ 44,483.33 "," $ 338,040.37 "," $ 1,170.56 "," $ 2,181.77 "," $ 7,265.19 "," $ 1,338.03 "," $ 1,898.01 ",6.90%,-4.24%,15.59%,-6.48%,4.90%,2.75%,7.03%,22.20%,0.31%,11.16%,13.33%,-0.58%,14.53%," $ 5,278.20 "," $ 40,672.29 ", $ 138.89 , $ 258.88 , $ 862.06 , $ 158.76 , $ 225.21 ,6.71%,-4.13%
1994,1.33%,-4.76%,4.37%,-8.04%,-1.23%,2.52%,-2.17%," $ 45,073.14 "," $ 321,949.65 "," $ 1,221.71 "," $ 2,006.43 "," $ 7,175.72 "," $ 1,371.69 "," $ 1,856.83 ",-3.04%,9.36%,-6.09%,2.56%,4.97%,2.67%,-1.31%,-7.24%,1.65%,-10.43%,-3.80%,-0.16%,-4.72%," $ 5,208.86 "," $ 37,727.13 ", $ 141.19 , $ 231.87 , $ 829.26 , $ 158.52 , $ 214.58 ,-2.96%,9.12%
1995,37.20%,32.12%,5.66%,23.48%,20.09%,1.79%,0.98%," $ 61,838.19 "," $ 425,359.88 "," $ 1,290.86 "," $ 2,477.55 "," $ 8,617.15 "," $ 1,396.27 "," $ 1,875.00 ",31.54%,13.71%,-5.08%,17.11%,5.08%,2.54%,33.80%,28.85%,3.04%,20.42%,17.11%,-0.73%,-1.52%," $ 6,969.39 "," $ 48,611.13 ", $ 145.48 , $ 279.23 , $ 971.18 , $ 157.36 , $ 211.32 ,30.75%,13.37%
1996,22.68%,14.79%,5.15%,1.43%,5.28%,2.43%,-4.59%," $ 75,863.69 "," $ 488,270.61 "," $ 1,357.34 "," $ 2,512.94 "," $ 9,072.10 "," $ 1,430.13 "," $ 1,789.00 ",17.53%,21.25%,-7.89%,17.40%,5.30%,3.32%,18.74%,11.10%,1.77%,-1.83%,1.89%,-0.87%,-7.65%," $ 8,275.17 "," $ 54,006.37 ", $ 148.06 , $ 274.11 , $ 989.58 , $ 156.00 , $ 195.14 ,16.97%,20.57%
1997,33.10%,22.06%,5.20%,9.94%,11.30%,4.02%,-21.41%," $ 100,977.34 "," $ 595,983.10 "," $ 1,427.92 "," $ 2,762.71 "," $ 10,097.00 "," $ 1,487.66 "," $ 1,406.01 ",27.90%,23.16%,-11.04%,21.81%,5.53%,1.70%,30.88%,20.02%,3.44%,8.10%,9.43%,2.28%,-22.72%," $ 10,830.18 "," $ 64,816.73 ", $ 153.15 , $ 296.31 ," $ 1,082.94 ", $ 159.56 , $ 150.80 ,27.44%,22.78%
1998,28.34%,-13.47%,4.91%,14.92%,8.10%,6.44%,-0.83%," $ 129,592.25 "," $ 515,704.18 "," $ 1,498.03 "," $ 3,174.95 "," $ 10,915.30 "," $ 1,583.49 "," $ 1,394.38 ",23.43%,13.42%,-41.81%,20.23%,5.63%,1.61%,26.30%,-14.84%,3.25%,13.10%,6.39%,4.75%,-2.40%," $ 13,678.75 "," $ 55,196.21 ", $ 158.12 , $ 335.12 ," $ 1,152.13 ", $ 167.14 , $ 147.18 ,23.06%,13.20%
1999,20.89%,37.71%,4.78%,-8.25%,0.97%,7.68%,0.85%," $ 156,658.05 "," $ 710,176.22 "," $ 1,569.64 "," $ 2,912.88 "," $ 11,021.25 "," $ 1,705.10 "," $ 1,406.25 ",16.11%,29.14%,16.82%,19.91%,5.96%,2.68%,17.72%,34.11%,2.04%,-10.65%,-1.67%,4.86%,-1.79%," $ 16,103.30 "," $ 74,023.50 ", $ 161.35 , $ 299.42 ," $ 1,132.90 ", $ 175.27 , $ 144.55 ,15.68%,28.38%
2000,-9.03%,-9.13%,6.00%,16.66%,9.38%,9.29%,-5.44%," $ 142,508.98 "," $ 645,337.13 "," $ 1,663.82 "," $ 3,398.03 "," $ 12,054.86 "," $ 1,863.54 "," $ 1,329.70 ",-15.03%,-25.69%,-0.10%,-18.41%,5.51%,3.39%,-12.01%,-12.11%,2.53%,12.83%,5.80%,5.71%,-8.54%," $ 14,169.00 "," $ 65,061.64 ", $ 165.43 , $ 337.85 ," $ 1,198.56 ", $ 185.28 , $ 132.21 ,-14.54%,-24.85%
2001,-11.85%,32.14%,3.48%,5.57%,8.60%,6.68%,0.75%," $ 125,622.01 "," $ 852,748.49 "," $ 1,721.72 "," $ 3,587.37 "," $ 13,091.17 "," $ 1,987.95 "," $ 1,339.63 ",-15.33%,-17.42%,43.99%,-20.45%,5.17%,1.55%,-13.20%,30.12%,1.90%,3.96%,6.94%,5.05%,-0.79%," $ 12,299.16 "," $ 84,658.78 ", $ 168.57 , $ 351.23 ," $ 1,281.71 ", $ 194.63 , $ 131.16 ,-15.10%,-17.16%
2002,-21.97%,-3.61%,1.64%,15.12%,12.06%,9.56%,25.57%," $ 98,027.82 "," $ 821,964.27 "," $ 1,749.95 "," $ 4,129.65 "," $ 14,669.49 "," $ 2,178.02 "," $ 1,682.17 ",-23.61%,-37.08%,18.36%,-34.02%,4.53%,2.38%,-23.78%,-5.85%,-0.72%,12.44%,9.45%,7.02%,22.65%," $ 9,374.69 "," $ 79,708.01 ", $ 167.35 , $ 394.93 ," $ 1,402.89 ", $ 208.29 , $ 160.87 ,-23.06%,-36.22%
2003,28.36%,91.23%,1.03%,0.38%,12.38%,9.81%,19.89%," $ 125,824.39 "," $ 1,571,842.27 "," $ 1,767.98 "," $ 4,145.15 "," $ 16,485.96 "," $ 2,391.76 "," $ 2,016.72 ",27.33%,27.98%,62.87%,15.97%,4.82%,1.88%,25.99%,87.70%,-0.83%,-1.48%,10.31%,7.79%,17.68%," $ 11,810.98 "," $ 149,613.66 ", $ 165.96 , $ 389.10 ," $ 1,547.52 ", $ 224.51 , $ 189.31 ,26.82%,27.46%
2004,10.74%,17.30%,1.40%,4.49%,10.33%,13.64%,4.65%," $ 139,341.42 "," $ 1,843,770.98 "," $ 1,792.73 "," $ 4,331.30 "," $ 18,188.87 "," $ 2,717.96 "," $ 2,110.47 ",9.34%,6.25%,6.56%,0.41%,4.84%,3.26%,7.25%,13.60%,-1.80%,1.20%,6.85%,10.06%,1.35%," $ 12,667.41 "," $ 169,963.56 ", $ 162.98 , $ 393.75 ," $ 1,653.53 ", $ 247.09 , $ 191.86 ,9.05%,6.05%
2005,4.83%,3.78%,3.22%,2.87%,5.13%,13.51%,17.77%," $ 146,077.85 "," $ 1,913,465.53 "," $ 1,850.46 "," $ 4,455.50 "," $ 19,122.44 "," $ 3,085.14 "," $ 2,485.47 ",1.61%,1.97%,-1.05%,-0.30%,4.80%,3.42%,1.37%,0.35%,-0.19%,-0.53%,1.66%,9.76%,13.88%," $ 12,841.20 "," $ 170,562.35 ", $ 162.67 , $ 391.67 ," $ 1,680.99 ", $ 271.20 , $ 218.49 ,1.56%,1.90%
2006,15.61%,18.40%,4.85%,1.96%,5.27%,1.73%,23.20%," $ 168,884.34 "," $ 2,265,543.18 "," $ 1,940.20 "," $ 4,542.87 "," $ 20,129.89 "," $ 3,138.60 "," $ 3,062.02 ",10.76%,13.65%,2.79%,10.34%,4.91%,2.54%,12.75%,15.47%,2.25%,-0.57%,2.66%,-0.79%,20.14%," $ 14,478.20 "," $ 196,942.21 ", $ 166.33 , $ 389.45 ," $ 1,725.70 ", $ 269.07 , $ 262.50 ,10.50%,13.31%
2007,5.48%,-9.11%,4.48%,10.21%,4.90%,-5.40%,31.92%," $ 178,147.20 "," $ 2,059,152.20 "," $ 2,027.12 "," $ 5,006.69 "," $ 21,117.24 "," $ 2,969.14 "," $ 4,039.49 ",1.00%,-4.73%,-14.59%,0.58%,4.79%,4.08%,1.35%,-12.67%,0.38%,5.89%,0.79%,-9.11%,26.75%," $ 14,673.43 "," $ 171,981.73 ", $ 166.97 , $ 412.39 ," $ 1,739.36 ", $ 244.56 , $ 332.72 ,0.97%,-4.54%
2008,-36.55%,-44.68%,1.40%,20.10%,-3.44%,-12.00%,4.32%," $ 113,030.22 "," $ 1,139,123.00 "," $ 2,055.50 "," $ 6,013.10 "," $ 20,389.86 "," $ 2,612.99 "," $ 4,213.91 ",-37.95%,-56.65%,-8.13%,-33.11%,3.88%,0.09%,-36.61%,-44.73%,1.31%,19.99%,-3.53%,-12.08%,4.22%," $ 9,301.44 "," $ 95,053.41 ", $ 169.15 , $ 494.83 ," $ 1,677.91 ", $ 215.03 , $ 346.77 ,-37.92%,-56.60%
2009,25.94%,46.94%,0.15%,-11.12%,19.96%,-3.85%,25.04%," $ 142,344.87 "," $ 1,673,827.33 "," $ 2,058.59 "," $ 5,344.65 "," $ 24,459.36 "," $ 2,512.29 "," $ 5,268.90 ",25.79%,37.05%,21.00%,5.98%,4.29%,2.72%,22.60%,43.05%,-2.50%,-13.47%,16.78%,-6.40%,21.72%," $ 11,403.47 "," $ 135,971.25 ", $ 164.92 , $ 428.17 ," $ 1,959.48 ", $ 201.26 , $ 422.10 ,25.10%,36.07%
2010,14.82%,27.73%,0.14%,8.46%,9.40%,-4.12%,29.24%," $ 163,441.94 "," $ 2,137,979.65 "," $ 2,061.47 "," $ 5,796.96 "," $ 26,759.01 "," $ 2,408.84 "," $ 6,809.59 ",14.68%,6.36%,12.91%,5.42%,4.31%,1.50%,13.13%,25.85%,-1.34%,6.86%,7.79%,-5.53%,27.34%," $ 12,900.63 "," $ 171,116.65 ", $ 162.71 , $ 457.56 ," $ 2,112.11 ", $ 190.13 , $ 537.49 ,14.46%,6.26%
2011,2.10%,-14.04%,0.05%,16.04%,12.26%,-3.89%,12.02%," $ 166,871.56 "," $ 1,837,807.31 "," $ 2,062.50 "," $ 6,726.52 "," $ 30,038.58 "," $ 2,315.25 "," $ 7,628.39 ",2.05%,-13.94%,-16.14%,-10.16%,4.10%,2.96%,-0.84%,-16.51%,-2.83%,12.70%,9.03%,-6.65%,8.80%," $ 12,792.37 "," $ 142,859.77 ", $ 158.11 , $ 515.65 ," $ 2,302.76 ", $ 177.49 , $ 584.79 ,1.99%,-13.54%
2012,15.89%,18.96%,0.09%,2.97%,9.40%,6.44%,5.68%," $ 193,388.43 "," $ 2,186,255.57 "," $ 2,064.36 "," $ 6,926.40 "," $ 32,862.16 "," $ 2,464.25 "," $ 8,062.02 ",15.80%,12.92%,3.07%,6.49%,4.20%,1.74%,13.91%,16.92%,-1.62%,1.21%,7.53%,4.61%,3.88%," $ 14,571.46 "," $ 167,037.82 ", $ 155.55 , $ 521.89 ," $ 2,476.10 ", $ 185.68 , $ 607.46 ,15.53%,12.70%
2013,32.15%,50.30%,0.06%,-9.10%,-1.13%,10.72%,-27.61%," $ 255,553.31 "," $ 3,285,942.13 "," $ 2,065.59 "," $ 6,295.79 "," $ 32,492.38 "," $ 2,728.39 "," $ 5,835.76 ",32.09%,41.25%,18.15%,33.27%,4.62%,1.50%,30.19%,48.08%,-1.42%,-10.45%,-2.59%,9.08%,-28.69%," $ 18,970.58 "," $ 247,343.39 ", $ 153.34 , $ 467.36 ," $ 2,412.02 ", $ 202.54 , $ 433.21 ,31.61%,40.64%
2014,13.52%,1.53%,0.03%,10.75%,10.75%,4.50%,0.12%," $ 290,115.42 "," $ 3,336,217.04 "," $ 2,066.21 "," $ 6,972.34 "," $ 35,984.14 "," $ 2,851.26 "," $ 5,843.02 ",13.49%,2.78%,-11.99%,2.78%,4.60%,0.76%,12.67%,0.77%,-0.72%,9.91%,9.91%,3.72%,-0.63%," $ 21,374.54 "," $ 249,242.25 ", $ 152.23 , $ 513.69 ," $ 2,651.17 ", $ 210.07 , $ 430.49 ,13.39%,2.76%
2015,1.38%,-9.12%,0.05%,1.28%,-1.50%,5.19%,-12.11%," $ 294,115.79 "," $ 3,031,954.05 "," $ 2,067.25 "," $ 7,061.89 "," $ 35,444.07 "," $ 2,999.38 "," $ 5,135.66 ",1.33%,0.09%,-10.50%,2.88%,4.54%,0.73%,0.64%,-9.78%,-0.67%,0.55%,-2.21%,4.43%,-12.74%," $ 21,512.34 "," $ 224,870.88 ", $ 151.20 , $ 516.52 ," $ 2,592.46 ", $ 219.38 , $ 375.63 ,1.32%,0.09%
2016,11.77%,17.02%,0.32%,0.69%,11.52%,5.31%,8.10%," $ 328,742.28 "," $ 3,547,992.63 "," $ 2,073.86 "," $ 7,110.65 "," $ 39,528.82 "," $ 3,158.51 "," $ 5,551.84 ",11.45%,11.08%,5.25%,0.25%,4.62%,2.07%,9.50%,14.64%,-1.72%,-1.36%,9.26%,3.17%,5.91%," $ 23,556.30 "," $ 257,795.62 ", $ 148.60 , $ 509.52 ," $ 2,832.47 ", $ 226.33 , $ 397.82 ,11.22%,10.86%
2017,21.61%,15.13%,0.95%,2.80%,9.15%,6.21%,12.66%," $ 399,768.64 "," $ 4,084,803.91 "," $ 2,093.56 "," $ 7,309.87 "," $ 43,146.21 "," $ 3,354.56 "," $ 6,254.84 ",20.66%,18.80%,-6.48%,12.45%,4.77%,2.11%,19.09%,12.75%,-1.14%,0.68%,6.90%,4.01%,10.34%," $ 28,054.07 "," $ 290,669.64 ", $ 146.92 , $ 512.98 ," $ 3,027.82 ", $ 235.41 , $ 438.94 ,20.23%,18.42%
2018,-4.23%,-16.21%,1.97%,-0.02%,-3.18%,4.52%,-0.93%," $ 382,870.94 "," $ 3,422,657.20 "," $ 2,134.81 "," $ 7,308.65 "," $ 41,772.99 "," $ 3,506.10 "," $ 6,196.71 ",-6.20%,-4.21%,-11.98%,-1.04%,4.66%,1.91%,-6.02%,-17.78%,0.06%,-1.89%,-5.00%,2.56%,-2.79%," $ 26,364.65 "," $ 238,987.06 ", $ 147.00 , $ 503.28 ," $ 2,876.51 ", $ 241.43 , $ 426.71 ,-6.08%,-4.13%
2019,31.21%,11.92%,2.11%,9.64%,15.25%,3.69%,19.08%," $ 502,371.39 "," $ 3,830,637.94 "," $ 2,179.85 "," $ 8,012.89 "," $ 48,142.43 "," $ 3,635.31 "," $ 7,378.88 ",29.10%,21.58%,-19.29%,15.96%,4.83%,2.29%,28.28%,9.42%,-0.17%,7.19%,12.67%,1.37%,16.42%," $ 33,820.66 "," $ 261,498.73 ", $ 146.75 , $ 539.44 ," $ 3,241.05 ", $ 244.74 , $ 496.76 ,28.45%,21.09%
2020,18.02%,34.16%,0.36%,11.33%,10.60%,10.43%,24.17%," $ 592,914.80 "," $ 5,139,183.85 "," $ 2,187.70 "," $ 8,920.90 "," $ 53,246.10 "," $ 4,014.35 "," $ 9,162.31 ",17.66%,6.69%,16.14%,7.42%,4.84%,1.36%,16.44%,32.36%,-0.99%,9.84%,9.12%,8.94%,22.50%," $ 39,379.86 "," $ 346,112.61 ", $ 145.30 , $ 592.50 ," $ 3,536.47 ", $ 266.62 , $ 608.54 ,17.43%,6.60%
2021,28.47%,22.41%,0.04%,-4.42%,1.02%,18.86%,-3.75%," $ 761,710.83 "," $ 6,290,874.96 "," $ 2,188.57 "," $ 8,526.95 "," $ 53,787.14 "," $ 4,771.64 "," $ 8,818.31 ",28.43%,32.88%,-6.06%,27.45%,5.13%,7.04%,20.02%,14.36%,-6.54%,-10.70%,-5.62%,11.05%,-10.08%," $ 47,265.10 "," $ 395,824.64 ", $ 135.80 , $ 529.11 ," $ 3,337.56 ", $ 296.09 , $ 547.19 ,26.56%,30.72%
2022,-18.04%,-22.90%,2.09%,-17.83%,-15.23%,5.65%,0.55%," $ 624,317.20 "," $ 4,850,264.59 "," $ 2,234.31 "," $ 7,006.75 "," $ 45,596.36 "," $ 5,041.32 "," $ 8,866.76 ",-20.13%,-0.21%,-4.86%,-2.81%,5.06%,6.45%,-23.01%,-27.57%,-4.10%,-22.81%,-20.37%,-0.75%,-5.55%," $ 36,390.84 "," $ 286,677.48 ", $ 130.24 , $ 408.42 ," $ 2,657.77 ", $ 293.85 , $ 516.84 ,-18.91%,-0.20%
2023,26.06%,5.19%,5.28%,3.88%,8.74%,5.68%,13.26%," $ 787,018.53 "," $ 5,101,993.32 "," $ 2,352.29 "," $ 7,278.61 "," $ 49,579.51 "," $ 5,327.59 "," $ 10,042.68 ",20.78%,22.18%,-20.87%,17.33%,5.23%,3.35%,21.97%,1.78%,1.87%,0.51%,5.21%,2.25%,9.59%," $ 44,386.65 "," $ 291,775.38 ", $ 132.67 , $ 410.50 ," $ 2,796.21 ", $ 300.47 , $ 566.39 ,20.11%,21.46%
2024,24.88%,8.70%,5.18%,-1.64%,1.74%,3.96%,25.96%," $ 982,817.82 "," $ 5,545,866.74 "," $ 2,474.14 "," $ 7,159.45 "," $ 50,440.38 "," $ 5,538.74 "," $ 12,649.47 ",19.70%,26.52%,-16.18%,23.14%,5.44%,2.89%,21.37%,5.65%,2.23%,-4.40%,-1.12%,1.05%,22.42%," $ 53,873.54 "," $ 308,257.19 ", $ 135.62 , $ 392.45 ," $ 2,764.91 ", $ 303.61 , $ 693.39 ,19.15%,25.77%
2025,17.72%,16.53%,4.21%,7.80%,6.96%,1.58%,66.22%," $ 1,157,009.09 "," $ 6,462,598.52 "," $ 2,578.30 "," $ 7,717.56 "," $ 53,952.41 "," $ 5,626.02 "," $ 21,025.41 ",13.51%,9.93%,-1.19%,10.76%,5.48%,2.74%,14.59%,13.43%,1.44%,4.93%,4.12%,-1.13%,61.79%," $ 61,733.44 "," $ 349,648.92 ", $ 137.57 , $ 411.78 ," $ 2,878.69 ", $ 300.18 ," $ 1,121.83 ",13.15%,9.66%
