Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5, Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1940,-10.67%,-32.88%,0.04%,5.40%,8.65%,3.31%,-1.66%, $ 107.37 , $ 92.25 , $ 117.28 , $ 163.35 , $ 231.18 , $ 90.95 , $ 164.00 ,-10.71%,-16.08%,-22.21%,-19.32%,,0.71%,-11.31%,-33.36%,-0.67%,4.65%,7.88%,2.57%,-2.35%, $ 131.74 , $ 114.78 , $ 143.89 , $ 200.42 , $ 283.65 , $ 111.59 , $ 201.22 ,-10.63%,-15.96%
1941,-12.77%,-6.75%,0.13%,-2.02%,5.01%,-8.38%,0.00%, $ 93.66 , $ 86.03 , $ 117.43 , $ 160.04 , $ 242.76 , $ 83.32 , $ 164.00 ,-12.90%,-10.75%,6.02%,-17.78%,,9.93%,-20.65%,-15.17%,-8.91%,-10.87%,-4.48%,-16.66%,-9.03%, $ 104.53 , $ 97.36 , $ 131.07 , $ 178.63 , $ 270.95 , $ 93.00 , $ 183.05 ,-11.74%,-9.78%
1942,19.17%,63.01%,0.34%,2.29%,5.18%,3.33%,0.00%, $ 111.61 , $ 140.23 , $ 117.83 , $ 163.72 , $ 255.33 , $ 86.10 , $ 164.00 ,18.83%,16.88%,43.84%,13.99%,,9.03%,9.30%,49.51%,-7.97%,-6.18%,-3.53%,-5.23%,-8.28%, $ 114.26 , $ 145.56 , $ 120.62 , $ 167.59 , $ 261.38 , $ 88.14 , $ 167.88 ,17.27%,15.48%
1943,25.06%,143.02%,0.38%,2.49%,8.04%,11.45%,0.00%, $ 139.59 , $ 340.79 , $ 118.28 , $ 167.79 , $ 275.88 , $ 95.95 , $ 164.00 ,24.68%,22.57%,117.96%,17.02%,,2.96%,21.47%,136.04%,-2.50%,-0.46%,4.94%,8.24%,-2.87%, $ 138.78 , $ 343.58 , $ 117.60 , $ 166.83 , $ 274.29 , $ 95.40 , $ 163.06 ,23.97%,21.92%
1944,19.03%,71.15%,0.38%,2.58%,6.57%,16.58%,0.00%, $ 166.15 , $ 583.26 , $ 118.73 , $ 172.12 , $ 293.99 , $ 111.87 , $ 164.00 ,18.65%,16.45%,52.12%,12.46%,,2.30%,16.36%,67.30%,-1.88%,0.27%,4.17%,13.96%,-2.25%, $ 161.48 , $ 574.82 , $ 115.39 , $ 167.28 , $ 285.73 , $ 108.72 , $ 159.40 ,18.23%,16.08%
1945,35.82%,94.41%,0.38%,3.80%,6.80%,11.78%,2.54%, $ 225.67 ," $ 1,133.92 ", $ 119.18 , $ 178.67 , $ 313.98 , $ 125.04 , $ 168.17 ,35.44%,32.02%,58.59%,29.02%,,2.25%,32.84%,90.14%,-1.83%,1.52%,4.45%,9.32%,0.29%, $ 214.51 ," $ 1,092.94 ", $ 113.29 , $ 169.83 , $ 298.45 , $ 118.86 , $ 159.85 ,34.66%,31.31%
1946,-8.43%,-13.73%,0.38%,3.13%,2.51%,24.10%,0.00%, $ 206.65 , $ 978.23 , $ 119.63 , $ 184.26 , $ 321.85 , $ 155.18 , $ 168.17 ,-8.81%,-11.56%,-5.30%,-10.94%,,18.13%,-22.48%,-26.97%,-15.03%,-12.70%,-13.23%,5.05%,-15.35%, $ 166.28 , $ 798.16 , $ 96.26 , $ 148.26 , $ 258.98 , $ 124.86 , $ 135.32 ,-7.46%,-9.78%
1947,5.20%,-1.74%,0.60%,0.92%,0.26%,21.26%,0.00%, $ 217.39 , $ 961.21 , $ 120.35 , $ 185.95 , $ 322.70 , $ 188.17 , $ 168.17 ,4.60%,4.28%,-6.94%,4.94%,,8.84%,-3.34%,-9.72%,-7.57%,-7.27%,-7.88%,11.42%,-8.12%, $ 160.72 , $ 720.59 , $ 88.98 , $ 137.48 , $ 238.58 , $ 139.12 , $ 124.33 ,4.23%,3.93%
1948,5.70%,-0.01%,1.05%,1.95%,3.44%,2.06%,0.00%, $ 229.79 , $ 961.11 , $ 121.61 , $ 189.58 , $ 333.79 , $ 192.05 , $ 168.17 ,4.66%,3.75%,-5.71%,2.27%,,2.99%,2.63%,-2.91%,-1.89%,-1.01%,0.43%,-0.91%,-2.90%, $ 164.95 , $ 699.59 , $ 87.30 , $ 136.09 , $ 239.61 , $ 137.86 , $ 120.72 ,4.52%,3.64%
1949,18.30%,27.60%,1.12%,4.66%,5.38%,0.09%,-8.70%, $ 271.85 ," $ 1,226.38 ", $ 122.96 , $ 198.42 , $ 351.74 , $ 192.22 , $ 153.54 ,17.19%,13.64%,9.30%,12.93%,,-2.07%,20.81%,30.30%,3.26%,6.88%,7.61%,2.21%,-6.77%, $ 199.28 , $ 911.59 , $ 90.14 , $ 145.45 , $ 257.84 , $ 140.91 , $ 112.55 ,17.55%,13.93%
